148,141,141,141,141,141,141,141,141,141,141,141,141,141,141,150,148,141,141,141,141,141,141,141,141,141,141,141,141,141,141,150,148,141,141,141,141,141,141,141,141,141,141,141,141,141,141,150,148,141,141,141,141,141,141,141,141,141,141,141,141,141,141,150,148,141,141,141,141,141,141,141,141,141,141,141,141,141,141,150
138,136,136,136,136,137,136,136,137,136,136,137,137,137,137,143,138,137,137,137,137,137,136,154,136,137,137,137,137,137,137,143,138,137,137,137,136,136,136,136,136,136,136,136,137,137,137,143,138,136,136,136,136,136,154,136,136,154,136,136,136,136,136,143,138,136,136,136,136,136,136,154,136,136,136,136,136,136,136,143
138,136,137,137,137,137,136,136,137,136,136,137,136,136,137,143,138,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,137,137,137,136,136,136,136,136,136,136,136,137,137,137,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143
138,136,136,136,136,137,136,136,137,136,136,137,136,137,137,143,138,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,137,137,137,136,136,136,136,136,136,136,136,137,137,137,143,138,136,136,136,137,136,136,136,136,136,136,137,136,136,136,143,138,136,136,137,137,136,136,136,136,136,136,136,136,136,136,143
138,136,137,137,137,137,136,136,137,136,136,137,136,136,136,146,142,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,137,137,137,161,161,161,161,161,161,161,161,137,137,137,143,138,136,136,136,136,137,136,136,136,136,137,136,136,136,136,143,138,136,137,136,136,137,137,137,137,137,137,137,137,136,136,143
138,136,137,136,136,136,136,136,136,136,136,137,137,136,136,136,136,136,136,136,136,136,136,136,136,137,137,137,137,137,137,143,138,137,137,137,161,161,161,161,161,161,161,161,137,137,137,143,138,136,136,136,136,136,137,137,137,137,136,136,136,136,136,143,138,136,137,136,136,137,136,136,136,136,137,136,137,136,136,143
138,136,137,136,136,136,136,136,136,136,136,136,137,136,136,136,136,136,136,136,136,136,136,136,136,137,137,137,137,137,137,143,138,137,137,137,137,136,136,136,136,136,136,137,137,137,137,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,137,137,136,136,136,136,136,136,136,137,136,136,143
138,136,137,136,136,137,137,137,137,137,136,136,137,136,137,144,145,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143
138,136,137,136,136,136,136,136,136,137,136,136,137,136,136,143,138,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143
138,136,136,136,136,136,136,136,136,137,136,136,136,136,136,143,138,137,137,137,137,137,136,136,136,137,137,137,137,137,137,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143,138,136,136,136,136,136,136,136,136,136,136,136,136,136,136,143
